Orbital Period,Planetary Radius,Transit Duration,Transit Depth,Star’s Effective Temperature (Kelvin),Star’s Radius (in solar radii),Star’s Surface Gravity (log10(cm/s²))
9.48803557,2.26,2.9575,615.8,5455.0,0.927,4.467
54.4183827,2.83,4.507,874.8,5455.0,0.927,4.467
19.89913995,14.6,1.7822,10829.0,5853.0,0.868,4.544
1.736952453,33.46,2.40641,8079.2,5805.0,0.791,4.564
2.525591777,2.75,1.6545,603.3,6031.0,1.046,4.438
11.09432054,3.9,4.5945,1517.5,6046.0,0.972,4.486
4.13443512,2.77,3.1402,686.0,6046.0,0.972,4.486
2.56658897,1.59,2.429,226.5,6046.0,0.972,4.486
7.36178958,39.21,5.022,233.7,6227.0,1.958,3.986
16.06864674,5.76,3.5347,4914.3,5031.0,0.848,4.485
2.470613377,13.04,1.74319,14231.0,5820.0,0.964,4.457
2.204735417,16.1,3.88864,6674.7,6440.0,1.952,4.019
3.522498429,14.59,3.19843,9145.7,6225.0,1.451,4.169
3.709214104,1.16,2.6302,131.1,5833.0,1.022,4.407
11.521446064,150.51,3.6399,17984.0,5795.0,0.848,4.554
19.40393776,7.18,12.2155,8918.7,5043.0,0.68,4.591
19.221388942,49.29,4.79843,74284.0,6117.0,0.947,4.496
16.46983774,7.94,9.4378,10479.0,5152.0,0.786,4.517
9.27358173,2.47,3.2875,1288.3,4856.0,0.696,4.583
6.02930329,2.85,1.5821,1912.7,4537.0,0.672,4.648
2.696370652,1.58,3.6129,397.9,4989.0,0.819,4.504
5.349553819,2.55,3.0278,831.0,5185.0,0.91,4.44
3.94105221,1.7,2.5984,363.3,5185.0,0.91,4.44
8.10904807,1.3,3.596,217.4,5185.0,0.91,4.44
386.6030528,41.5,6.8057,24927.0,5543.0,1.58,4.081
21.67699193,2.95,3.4555,857.2,4954.0,0.828,4.5
4.99677968,2.78,2.1717,934.7,5339.0,0.847,4.552
4.280963604,2.3,2.875,750.8,5644.0,0.831,4.564
1.50635409,4.53,1.5155,2211.7,5714.0,0.831,4.563
670.645531,14.14,53.412,18091.0,5520.0,0.983,4.466
61.2563628,39.87,7.633,5123.3,6144.0,1.091,4.402
38.3775486,2.82,5.588,724.2,5481.0,1.036,4.369
41.19725502,3.86,4.6297,2213.9,5031.0,0.848,4.485
6.252962249,2.65,2.5819,1036.9,5031.0,0.848,4.485
16.01308419,3.1,3.2554,1121.9,5015.0,0.826,4.499
32.62876672,3.36,4.7971,1804.8,5586.0,0.798,4.56
91.7732862,2.12,6.473,652.0,5586.0,0.798,4.56
4.959319244,12.21,2.22739,9802.0,5712.0,1.082,4.359
2.701287801,6.54,3.3827,860.4,5550.0,0.91,4.468
4.49876511,2.1,3.7362,460.0,6075.0,0.969,4.486
19.651209505,12.42,5.2514,11766.0,6074.0,1.063,4.391
5.412203927,2.94,2.9472,601.6,5779.0,1.087,4.339
41.43958662,5.5,10.5989,2793.1,5468.0,1.046,4.367
8.35389523,2.52,2.2514,1041.6,5592.0,0.787,4.582
4.125543472,4.43,3.1744,1487.3,6174.0,1.103,4.417
2.816504904,12.21,2.50587,16814.0,5532.0,0.955,4.452
33.93373447,7.34,14.561,8503.7,5040.0,0.705,4.628
3.689920099,1.89,2.6557,426.7,5880.0,0.917,4.518
4.431238488,3.25,3.15,1010.9,5714.0,1.015,4.428
11.37936986,3.95,2.6255,1023.5,5714.0,1.015,4.428
26.39432897,3.07,3.573,1510.9,5129.0,0.763,4.595
13.57078281,2.64,3.3539,511.7,5854.0,1.012,4.406
7.12594387,1.79,3.0014,192.4,5779.0,1.087,4.339
7.442652004,15.03,2.3078,24446.0,6108.0,0.956,4.469
16.38489988,2.0,3.0249,1127.1,4126.0,0.615,4.661
7.8774163,2.16,2.0805,1306.1,4126.0,0.615,4.661
36.4454001,1.99,4.007,1122.3,4126.0,0.615,4.661
3.728732147,6.02,2.683,5226.5,5497.0,0.809,4.577
40.4195037,7.51,3.362,6256.0,5446.0,0.781,4.507
2.243380573,1.99,1.1196,821.7,4149.0,0.564,4.698
10.405998015,11.23,6.5036,14489.0,5746.0,0.924,4.393
2.337437946,2.34,1.9982,971.2,5005.0,0.765,4.595
7.2406612,19.45,0.558,556.4,5005.0,0.765,4.595
3.43591631,0.55,3.133,23.2,5779.0,1.087,4.339
11.59822233,2.65,2.5237,2804.5,3688.0,0.473,4.79
6.575315881,5.31,4.3084,2793.3,5992.0,0.989,4.415
7.275040844,4.86,7.5377,3001.0,5485.0,0.867,4.556
19.27153892,1.93,2.7594,1219.8,4077.0,0.56,4.702
10.06524317,1.91,1.369,1053.3,4077.0,0.56,4.702
12.3935651,2.66,3.8896,916.6,5557.0,0.75,4.603
43.84439721,2.87,6.802,615.2,5854.0,1.012,4.406
3.341913228,21.55,3.813,725.3,5295.0,0.811,4.551
1.626630225,32.43,2.1145,1620.6,5735.0,0.973,4.41
2.711504086,3.12,3.0099,837.5,6214.0,1.076,4.442
7.21203748,3.32,4.0491,950.4,6214.0,1.076,4.442
14.1798187,1.88,2.505,459.9,5799.0,0.878,4.539
8.47237911,2.59,2.7245,1123.5,5354.0,0.788,4.587
60.4189369,2.36,5.039,931.3,5354.0,0.788,4.587
12.611904345,7.4,5.1497,6105.6,5795.0,0.919,4.508
1.433769925,46.58,1.8868,1976.3,6017.0,1.339,4.22
10.31872301,28.59,3.836,871.7,5927.0,1.06,4.409
2.539183147,2.06,2.4282,382.1,5519.0,1.062,4.35
6.770300385,2.77,2.0844,1304.0,5653.0,0.679,4.656
0.444291966,27.51,2.0792,10967.0,5255.0,0.636,4.678
10.181584004,7.73,3.5089,5741.1,5988.0,0.836,4.541
20.06036336,1.96,3.3203,1494.7,3950.0,0.493,4.754
46.1842039,1.83,4.758,1394.7,3950.0,0.493,4.754
23.9800854,1.31,5.351,104.0,5854.0,1.012,4.406
7.82502168,1.2,2.186,520.8,3950.0,0.493,4.754
3.895936525,7.34,2.3111,8544.8,5557.0,0.774,4.592
22.36646466,2.32,5.228,986.8,5395.0,0.734,4.615
1.625522174,9.73,2.38963,7969.0,5539.0,1.106,4.322
19.620346923,13.6,2.0038,21725.0,5710.0,0.905,4.492
7.544039,17.47,6.222,322.6,5657.0,0.824,4.567
9.02930689,2.57,3.1449,1019.8,5349.0,0.82,4.526
10.328035714,13.28,7.7915,16918.0,5627.0,1.024,4.359
143.2063047,8.9,8.9302,10566.0,5485.0,0.867,4.556
6.164876,0.79,3.262,55.8,5854.0,1.012,4.406
60.32494216,12.19,6.6188,20280.0,5485.0,0.867,4.556
29.1598615,1.91,4.803,488.0,5485.0,0.867,4.556
1.540397253,25.69,2.1541,816.1,5663.0,0.915,4.53
2.99025443,1.7,5.414,589.2,4667.0,0.731,4.578
1.594745374,11.3,1.9604,15044.0,5934.0,0.893,4.491
4.783002698,2.5,2.335,1008.7,5170.0,0.807,4.574
20.50588921,3.41,4.0595,2105.5,4905.0,0.761,4.544
3.340218842,2.03,1.9104,1632.6,3950.0,0.493,4.754
2.507089906,30.26,2.0067,1339.2,5926.0,0.939,4.506
18.64932728,3.12,4.4056,893.6,5775.0,1.053,4.405
4.90144976,1.7,4.1654,140.7,5847.0,1.402,4.191
9.75192101,2.76,4.793,418.0,5775.0,1.053,4.405
38.5576546,4.02,5.794,993.0,5775.0,1.053,4.405
3.525632539,11.58,2.59959,22335.0,5150.0,0.793,4.572
34.84398644,7.61,2.9315,4523.6,5509.0,0.871,4.482
7.748094239,5.52,3.5957,2472.1,5973.0,1.085,4.439
23.96793669,1.8,3.827,1182.3,3747.0,0.524,4.728
8.29561738,1.82,1.3421,824.3,3747.0,0.524,4.728
8.11437482,2.1,2.2736,1558.0,3692.0,0.517,4.753
38.036729482,27.5,4.34617,82872.0,5575.0,0.932,4.521
4.64090031,30.09,35.512,2450.6,6463.0,0.826,4.5
3.747838198,13.65,5.0642,616.0,5514.0,0.826,4.569
14.74914825,2.89,6.0995,430.2,5847.0,1.402,4.191
21.81295996,3.38,4.3791,1175.4,5601.0,0.999,4.41
7.91936937,10.34,3.3148,15148.0,5690.0,0.776,4.588
1.028436523,72.77,1.8606,8098.0,6228.0,0.99,4.428
15.37562369,11.01,3.3169,15337.0,4986.0,0.833,4.496
8.10363271,2.11,3.161,887.9,4861.0,0.732,4.574
4.71510843,1.46,2.506,417.5,4861.0,0.732,4.574
6.365839713,2.44,2.9721,780.7,5776.0,0.849,4.554
5.97581754,3.86,3.065,962.4,6108.0,0.997,4.471
2.446737317,26.25,4.7211,1177.9,5764.0,0.863,4.548
3.04033046,8.99,1.8411,10859.0,5035.0,0.791,4.519
15.33528675,5.0,3.897,3081.4,5251.0,0.817,4.581
7.95825328,1.06,4.377,50.0,5847.0,1.402,4.191
31.33046135,6.5,5.176,5073.8,5251.0,0.817,4.581
3.9043425,12.28,3.831,16228.0,5810.0,0.898,4.526
9.286358079,17.61,3.49949,44791.0,5670.0,0.821,4.523
3.951405455,31.44,2.1862,2453.9,6046.0,0.869,4.539
23.65369415,7.89,8.2183,3341.8,5739.0,1.384,4.191
13.23352214,3.06,6.7372,504.6,5739.0,1.384,4.191
6.15560285,2.32,4.9843,285.0,5739.0,1.384,4.191
2.090811305,1.62,3.388,115.9,5739.0,1.384,4.191
3.180027898,1.53,3.5797,120.3,5847.0,1.402,4.191
50.4467417,2.67,7.159,370.3,5739.0,1.384,4.191
11.76307164,2.35,2.9076,1037.3,4959.0,0.756,4.603
56.2279271,2.37,3.57,862.7,4959.0,0.756,4.603
2.384052875,17.06,3.0918,1268.1,4794.0,0.701,4.58
7.953547,2.25,2.6312,875.4,4768.0,0.779,4.536
4.14451656,1.48,2.3421,391.8,4768.0,0.779,4.536
4.859386384,38.33,2.2757,6044.3,6072.0,0.988,4.47
10.526294577,8.24,2.5211,9768.0,5386.0,0.793,4.553
4.583520948,5.39,2.7055,3812.1,5815.0,0.877,4.54
3.76181843,2.66,3.5176,510.6,5653.0,0.949,4.472
