Orbital Period,Planetary Radius,Transit Duration,Transit Depth, Star’s Effective Temperature, Star’s Radius, Star’s Surface Gravity, Disposition
2.1713484,5.8181633,2.0172196,656.8860989,10249.0,2.16986,4.19,FP
1.9316462,11.2154,3.166,1286.0,7070.0,2.01,4.03,PC
1.8675574,23.7529,1.408,1500.0,8924.0,5.73,,FP
2.74323,,3.167,383.41,5388.5,,4.15,FP
3.5730141,11.3113,3.37,755.0,9219.0,2.15,4.14,FP
4.5505945,7.10841,2.654,3731.0,5613.0,1.09,,FP
2.5047918,8.6950898,4.3797563,2270.5402194,6616.0,1.53429,,FP
6.9989206,14.7752,3.953,2840.0,6596.0,2.7,3.71,PC
2.0483755,3.19621,2.767,483.0,6858.5,1.57,4.2,FP
1.9600277,,2.0065257,1707.6272693,8868.7,,,PC
1.4303699,13.1874503,1.6165994,18960.7122944,5600.0,0.890774,4.48851,KP
0.6808702,5.9115908,2.4634563,1507.8006889,9438.0,1.0,,FP
2.4704981,1.44656,2.191,250.0,5413.7,0.94,4.46,PC
0.884182,24.8132,1.621,1890.0,8928.0,2.72,3.92,APC
5.4255548,,3.9637474,14939.6342222,8868.7,,,FP
1.4095184,,0.9484999,2841.5103258,9307.0,,,FP
1.3730466,42.1479417,2.5708515,1301.5065338,4897.0,6.7996101,,FP
12.6889415,14.0608342,7.9201001,3232.8527885,7601.0,1.53641,4.31,FP
1.10422,21.0448,2.37,14177.7,6995.2,1.61,4.07,FP
4.95912,22.9123,2.509,7440.0,5889.0,2.0,3.86,FP
5.2341008,24.2931408,3.7078139,20796.9416293,7645.0,1.56203,4.3,PC
4.4119378,15.4706,3.65,15062.0,6280.0,1.21,4.32092,KP
3.28892,,3.793,10518.9,8734.2,,4.1,FP
1.90879,3.34688,1.909,618.482,6022.6,1.22,4.52,FP
3.09574,3.4262,4.475,380.0,6084.0,1.41,4.13,FA
1.3214483,21.8839,3.435,2180.0,5050.8,2.99,3.56,FP
18.0157,21.644,2.524,610.0,4709.0,7.61,,FP
9.6837921,,2.4006056,4238.2399008,8598.7,,,PC
14.2628757,2.4765813,6.9350494,913.2067174,5690.0,0.853898,4.58,FP
3.2834565,2.87648,1.537,1558.0,4272.0,0.68,4.6,PC
11.02875,2.76586,2.715,1694.0,4272.0,0.68,4.6,PC
5.0113292,2.52314,1.024,1210.0,4272.0,0.68,4.6,PC
1.01606,1.20704,2.843,240.0,4634.0,0.68,4.64,FP
36.22214,,5.107,7170.0,,,,FP
3.547854,14.581841,3.494333,10424.3718,6351.0,1.4,4.22896,KP
12.1246519,17.6729,4.612,7279.0,4807.6,1.07,4.17,FP
5.652623,8.94354,3.434,1250.0,6415.4,1.92,3.98,FP
5.6643704,14.7738943,3.8087395,3491.8232968,10395.0,2.3383701,4.13,PC
